,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
26,6211550.0,6337893.0,6464732.0,6592787.0,6723046.0,6856244.0,6992521.0,7131707.0,7273825.0,7418861.0,7566714.0,7717443.0,7870855.0,8026254.0,8182712.0,8339512.0,8496375.0,8653345.0,8810420.0,8967741.0,9125409.0,9283334.0,9441444.0,9599855.0,9758748.0,9918242.0,10078343.0,10239004.0,10400264.0,-0.30561696307538483,10724705.0,10887882.0
27,135676281.0,138499464.0,141273488.0,144001542.0,146691981.0,149352145.0,151976577.0,154564278.0,157132682.0,159705123.0,162296612.0,164913306.0,167545164.0,170170640.0,172759243.0,175287587.0,177750670.0,180151021.0,182482149.0,184738458.0,186917361.0,189012412.0,191026637.0,192979029.0,194895996.0,196796269.0,198686688.0,200560983.0,202408632.0,-0.09645653874429105,205962108.0,207652865.0
28,255924.0,256736.0,257611.0,258527.0,259458.0,260374.0,261275.0,262184.0,263089.0,264015.0,264959.0,265942.0,266945.0,267950.0,268922.0,269847.0,270685.0,271478.0,272258.0,273091.0,274009.0,275039.0,276150.0,277319.0,278470.0,279569.0,280601.0,281585.0,282509.0,-0.3167189611032564,284217.0,284996.0
29,224512.0,230972.0,237622.0,244458.0,251514.0,258785.0,266274.0,273963.0,281751.0,289525.0,297192.0,304699.0,312038.0,319222.0,326289.0,333241.0,340117.0,346867.0,353389.0,359523.0,365158.0,370250.0,374864.0,379252.0,383772.0,388662.0,394013.0,399748.0,405716.0,-0.31658036507177073,417542.0,423196.0
30,467178.0,482952.0,500437.0,517273.0,530257.0,537280.0,537284.0,531525.0,523117.0,516503.0,514877.0,519282.0,528754.0,542155.0,557543.0,573416.0,589600.0,606399.0,623434.0,640282.0,656639.0,672228.0,686958.0,700950.0,714458.0,727641.0,740510.0,752967.0,764961.0,-0.31618640883062,787386.0,797765.0
31,1189114.0,1226810.0,1264314.0,1301818.0,1339624.0,1377912.0,1416731.0,1455833.0,1494693.0,1532622.0,1569094.0,1604060.0,1637635.0,1669625.0,1699862.0,1728340.0,1754935.0,1779953.0,1804339.0,1829330.0,1855852.0,1884238.0,1914414.0,1946351.0,1979882.0,2014866.0,2051339.0,2089315.0,2128507.0,-0.3146827889432141,2209197.0,2250260.0
32,2634232.0,2696982.0,2755244.0,2812244.0,2872668.0,2939780.0,3014624.0,3095807.0,3181222.0,3267670.0,3352767.0,3435821.0,3517309.0,3597385.0,3676508.0,3754986.0,3832203.0,3907612.0,3981665.0,4055036.0,4127910.0,4201758.0,4275800.0,4345386.0,4404230.0,4448525.0,4476153.0,4490416.0,4499653.0,-0.3121480138902971,4546100.0,4594621.0
33,25942000.0,26204000.0,26550000.0,26895000.0,27379000.0,27791000.0,28171682.0,28519597.0,28833410.0,29111906.0,29354000.0,29671900.0,29987200.0,30247900.0,30499200.0,30769700.0,31081900.0,31362000.0,31676000.0,31995000.0,32312000.0,32570505.0,32887928.0,33245773.0,33628571.0,34005274.0,34342780.0,34750545.0,35152370.0,-0.278643678612893,35832513.0,36264604.0
34,109360296.0,109847148.0,110296680.0,110688533.0,110801380.0,110745760.0,110290445.0,110005636.0,110081461.0,110019570.0,109913216.0,109563097.0,109459093.0,109207205.0,109102354.0,108405522.0,107800399.0,107097577.0,106760768.0,106466116.0,106173766.0,105901322.0,105504531.0,105126686.0,104924372.0,104543801.0,104174038.0,103935318.0,103713726.0,-0.20523988437298515,103257751.0,102991323.0
35,6470365.0,6504124.0,6545106.0,6593386.0,6646912.0,6715519.0,6799978.0,6875364.0,6938265.0,6993795.0,7040687.0,7071850.0,7088906.0,7110001.0,7143991.0,7184250.0,7229854.0,7284753.0,7339001.0,7389625.0,7437115.0,7483934.0,7551117.0,7647675.0,7743831.0,7824909.0,7912398.0,7996861.0,8089346.0,-0.30818056680274897,8282396.0,8372413.0
